"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"demography","IBM",3,1,2,1.5,0.0176853,0.364427,1.45738,68.5825
"demography","IBM",3,2,3,2.5,0.0173223,0.39695,1.34205,42.7899
"demography","IBM",3,3,5,4,0.0359767,0.436519,1.18466,16.8568
"demography","IBM",3,5,7,6,0.0356799,0.503458,1.05098,7.55422
"demography","IBM",3,7,10,8.5,0.0534304,0.510593,0.860101,2.52229
"demography","IBM",3,10,15,12.5,0.0803731,0.463496,0.644298,2.93434
"demography","IBM",3,15,20,17.5,0.0851572,0.351632,0.411072,0.791283
"demography","IBM",3,20,30,25,0.161236,0.229208,0.280633,0.417919
"demography","IBM",3,30,40,35,0.144176,0.194623,0.200268,0
"demography","IBM",3,40,60,50,0.227285,0.187232,0.135191,0
"demography","IBM",3,60,85,72.5,0.123757,0.184609,0.108352,0.272241
"eir_20","IBM",4,0,1,0.5,0.0479836,0.288499,1.104,55.7292
"eir_20","IBM",4,1,2,1.5,0.0447828,0.430085,1.70974,53.6656
"eir_20","IBM",4,2,3,2.5,0.0421024,0.491994,1.75668,35.3748
"eir_20","IBM",4,3,5,4,0.0798791,0.531445,1.43399,19.4927
"eir_20","IBM",4,5,7,6,0.0737988,0.56355,1.18428,8.25603
"eir_20","IBM",4,7,10,8.5,0.101478,0.565097,0.916297,3.66919
"eir_20","IBM",4,10,15,12.5,0.129612,0.499577,0.615286,0.783471
"eir_20","IBM",4,15,20,17.5,0.104796,0.360752,0.359175,0
"eir_20","IBM",4,20,30,25,0.150329,0.246793,0.238903,0.225168
"eir_20","IBM",4,30,40,35,0.0953288,0.204003,0.175409,0.355078
"eir_20","IBM",4,40,60,50,0.0909998,0.195149,0.130561,0
"eir_20","IBM",4,60,85,72.5,0.0389097,0.195866,0.0861243,0
"demography","IBM",4,0,1,0.5,0.0191913,0.222636,0.739912,31.6352
"demography","IBM",4,1,2,1.5,0.0174009,0.354892,1.25217,46.5203
"demography","IBM",4,2,3,2.5,0.0164831,0.411744,1.25641,26.6016
"demography","IBM",4,3,5,4,0.0327993,0.436219,1.26898,20.5669
"demography","IBM",4,5,7,6,0.0316514,0.493794,1.07417,8.52512
"demography","IBM",4,7,10,8.5,0.0466839,0.489489,0.834485,3.61249
"demography","IBM",4,10,15,12.5,0.0814793,0.448496,0.650328,1.24187
"demography","IBM",4,15,20,17.5,0.0804779,0.330729,0.424138,0.419109
"demography","IBM",4,20,30,25,0.158301,0.228473,0.262928,0.639209
"demography","IBM",4,30,40,35,0.154272,0.190313,0.186276,0
"demography","IBM",4,40,60,50,0.232787,0.182813,0.128954,0
"demography","IBM",4,60,85,72.5,0.128473,0.180442,0.0966138,0.525075
"eir_20","IBM",5,0,1,0.5,0.0482423,0.281086,1.03358,49.7857
"eir_20","IBM",5,1,2,1.5,0.0461273,0.415457,1.76959,52.8018
"eir_20","IBM",5,2,3,2.5,0.0434514,0.504803,1.82174,43.5971
"eir_20","IBM",5,3,5,4,0.083711,0.543396,1.50286,17.3764
"eir_20","IBM",5,5,7,6,0.074782,0.56204,1.22045,6.78529
"eir_20","IBM",5,7,10,8.5,0.0973545,0.576387,0.974308,2.4323
"eir_20","IBM",5,10,15,12.5,0.130987,0.50997,0.609477,0.258253
"eir_20","IBM",5,15,20,17.5,0.100998,0.360902,0.389196,1.33974
"eir_20","IBM",5,20,30,25,0.14714,0.247207,0.254272,0.229902
"eir_20","IBM",5,30,40,35,0.0942915,0.20403,0.171845,0
"eir_20","IBM",5,40,60,50,0.0925902,0.199085,0.12568,0.36535
"eir_20","IBM",5,60,85,72.5,0.0403245,0.190467,0.0897612,0
"demography","IBM",5,0,1,0.5,0.0186582,0.243208,0.876791,52.4267
"demography","IBM",5,1,2,1.5,0.0168755,0.389009,1.42714,57.9651
"demography","IBM",5,2,3,2.5,0.0163857,0.427776,1.36481,37.0537
"demography","IBM",5,3,5,4,0.0329355,0.458757,1.26379,20.4828
"demography","IBM",5,5,7,6,0.0333912,0.504524,1.06168,9.09149
"demography","IBM",5,7,10,8.5,0.0492062,0.518187,0.861667,6.85495
"demography","IBM",5,10,15,12.5,0.0832087,0.459497,0.638058,2.83762
"demography","IBM",5,15,20,17.5,0.0810828,0.343018,0.413506,0.416002
"demography","IBM",5,20,30,25,0.151469,0.230728,0.281925,0.445379
"demography","IBM",5,30,40,35,0.149478,0.193907,0.194966,0.225656
"demography","IBM",5,40,60,50,0.23756,0.188847,0.131765,0
"demography","IBM",5,60,85,72.5,0.129749,0.179416,0.112566,0
"eir_20","IBM",6,0,1,0.5,0.0481057,0.27505,1.08448,50.6702
"eir_20","IBM",6,1,2,1.5,0.0457884,0.43751,1.86099,56.1921
"eir_20","IBM",6,2,3,2.5,0.0423957,0.488961,1.79511,51.9049
"eir_20","IBM",6,3,5,4,0.0798661,0.533177,1.49167,19.499
"eir_20","IBM",6,5,7,6,0.0747657,0.570708,1.20764,6.79212
"eir_20","IBM",6,7,10,8.5,0.0973371,0.561696,0.959251,3.13026
"eir_20","IBM",6,10,15,12.5,0.133597,0.515246,0.606913,1.26704
"eir_20","IBM",6,15,20,17.5,0.0986677,0.358177,0.363017,1.02935
"eir_20","IBM",6,20,30,25,0.149169,0.24756,0.240118,0.453908
"eir_20","IBM",6,30,40,35,0.0938733,0.208835,0.167337,0.360641
"eir_20","IBM",6,40,60,50,0.0960695,0.195401,0.124043,0
"eir_20","IBM",6,60,85,72.5,0.0403652,0.190285,0.0905801,0
"demography","IBM",6,0,1,0.5,0.017931,0.211406,0.708074,48.8327
"demography","IBM",6,1,2,1.5,0.0172531,0.354837,1.3332,48.7994
"demography","IBM",6,2,3,2.5,0.016262,0.424521,1.56563,49.7027
"demography","IBM",6,3,5,4,0.0322081,0.478324,1.31226,19.8669
"demography","IBM",6,5,7,6,0.0340091,0.509087,1.09918,12.8733
"demography","IBM",6,7,10,8.5,0.0518668,0.512851,0.908383,2.59724
"demography","IBM",6,10,15,12.5,0.082409,0.455812,0.60564,2.04332
"demography","IBM",6,15,20,17.5,0.0801727,0.326771,0.39696,0.420063
"demography","IBM",6,20,30,25,0.158118,0.228584,0.258357,0.638969
"demography","IBM",6,30,40,35,0.150513,0.190253,0.188176,0
"demography","IBM",6,40,60,50,0.233091,0.186408,0.127434,0.288966
"demography","IBM",6,60,85,72.5,0.126166,0.18209,0.0950272,0.26693
"eir_20","IBM",7,0,1,0.5,0.0469018,0.280431,1.06238,56.2182
"eir_20","IBM",7,1,2,1.5,0.0449091,0.447724,1.88708,60.2181
"eir_20","IBM",7,2,3,2.5,0.0431232,0.497921,1.73556,37.6272
"eir_20","IBM",7,3,5,4,0.0808628,0.53258,1.44685,20.0662
"eir_20","IBM",7,5,7,6,0.0733833,0.559668,1.22488,7.37046
"eir_20","IBM",7,7,10,8.5,0.0974603,0.572591,0.964595,4.50908
"eir_20","IBM",7,10,15,12.5,0.130087,0.506073,0.591698,1.29929
"eir_20","IBM",7,15,20,17.5,0.110178,0.352915,0.370938,0.613628
"eir_20","IBM",7,20,30,25,0.144941,0.247995,0.23696,0
"eir_20","IBM",7,30,40,35,0.0924605,0.208236,0.182073,0.731216
"eir_20","IBM",7,40,60,50,0.0886161,0.190329,0.130081,0.762938
"eir_20","IBM",7,60,85,72.5,0.0470766,0.192028,0.108429,0
"demography","IBM",7,0,1,0.5,0.0174586,0.230865,0.76939,28.9971
"demography","IBM",7,1,2,1.5,0.0170569,0.355297,1.34945,55.4026
"demography","IBM",7,2,3,2.5,0.0172781,0.397164,1.35561,54.6934
"demography","IBM",7,3,5,4,0.0352172,0.437479,1.21229,19.1667
"demography","IBM",7,5,7,6,0.0335064,0.494806,1.06166,10.0727
"demography","IBM",7,7,10,8.5,0.0492809,0.48484,0.849211,5.47878
"demography","IBM",7,10,15,12.5,0.0792104,0.454799,0.616111,1.27824
"demography","IBM",7,15,20,17.5,0.0786374,0.33786,0.429613,0
"demography","IBM",7,20,30,25,0.15763,0.233241,0.270633,0.428217
"demography","IBM",7,30,40,35,0.152765,0.191885,0.181823,0.220927
"demography","IBM",7,40,60,50,0.232521,0.184061,0.145873,0.435443
"demography","IBM",7,60,85,72.5,0.129437,0.179521,0.104558,0
"eir_20","IBM",8,0,1,0.5,0.0496339,0.297514,1.1264,53.1516
"eir_20","IBM",8,1,2,1.5,0.0467895,0.443413,1.85918,67.9484
"eir_20","IBM",8,2,3,2.5,0.0430045,0.494481,1.69093,38.5374
"eir_20","IBM",8,3,5,4,0.0762693,0.539517,1.50553,23.9466
"eir_20","IBM",8,5,7,6,0.0734544,0.57551,1.22249,3.68359
"eir_20","IBM",8,7,10,8.5,0.095605,0.56775,0.959419,4.59899
"eir_20","IBM",8,10,15,12.5,0.133234,0.510487,0.558732,1.26927
"eir_20","IBM",8,15,20,17.5,0.105051,0.358935,0.372828,0.965876
"eir_20","IBM",8,20,30,25,0.144942,0.248536,0.24805,0.466699
"eir_20","IBM",8,30,40,35,0.0939485,0.204326,0.151563,0
"eir_20","IBM",8,40,60,50,0.0941436,0.197007,0.123585,0
"eir_20","IBM",8,60,85,72.5,0.0439246,0.194536,0.13013,1.54
"demography","IBM",8,0,1,0.5,0.0184627,0.234006,0.88543,49.292
"demography","IBM",8,1,2,1.5,0.0175968,0.383553,1.41744,78.5338
"demography","IBM",8,2,3,2.5,0.0174732,0.417798,1.35031,32.7932
"demography","IBM",8,3,5,4,0.036381,0.465936,1.30725,21.3088
"demography","IBM",8,5,7,6,0.03651,0.518948,1.12353,11.0784
"demography","IBM",8,7,10,8.5,0.0483279,0.528116,0.915046,4.8821
"demography","IBM",8,10,15,12.5,0.0829196,0.467137,0.653229,1.21947
"demography","IBM",8,15,20,17.5,0.0837485,0.335761,0.417358,0.402466
"demography","IBM",8,20,30,25,0.153229,0.233264,0.271664,0
"demography","IBM",8,30,40,35,0.153761,0.196586,0.185671,0
"demography","IBM",8,40,60,50,0.228313,0.187306,0.128143,0.14763
"demography","IBM",8,60,85,72.5,0.123277,0.185419,0.112374,0.273417
"eir_20","IBM",9,0,1,0.5,0.0475704,0.274153,1.09751,42.6493
"eir_20","IBM",9,1,2,1.5,0.0445855,0.442111,1.80122,59.156
"eir_20","IBM",9,2,3,2.5,0.0436209,0.486805,1.69997,43.4101
"eir_20","IBM",9,3,5,4,0.0840399,0.523443,1.47987,19.7155
"eir_20","IBM",9,5,7,6,0.0764389,0.573981,1.23686,8.40498
"eir_20","IBM",9,7,10,8.5,0.0956556,0.57745,0.925458,2.82799
"eir_20","IBM",9,10,15,12.5,0.13539,0.506489,0.607151,1.74827
"eir_20","IBM",9,15,20,17.5,0.101662,0.360704,0.390155,0.332613
"eir_20","IBM",9,20,30,25,0.143462,0.247506,0.234287,0.471401
"eir_20","IBM",9,30,40,35,0.0929704,0.201954,0.168761,0.363708
"eir_20","IBM",9,40,60,50,0.0934338,0.198213,0.120514,0.361904
"eir_20","IBM",9,60,85,72.5,0.0411707,0.198474,0.101022,0
"demography","IBM",9,0,1,0.5,0.018269,0.226358,0.861172,48.0482
"demography","IBM",9,1,2,1.5,0.0179608,0.35091,1.26505,45.1132
"demography","IBM",9,2,3,2.5,0.0176975,0.416775,1.37544,24.8
"demography","IBM",9,3,5,4,0.0352449,0.462984,1.30084,16.2844
"demography","IBM",9,5,7,6,0.0343985,0.508222,1.05214,4.90738
"demography","IBM",9,7,10,8.5,0.0497467,0.501524,0.920269,4.07199
"demography","IBM",9,10,15,12.5,0.0759129,0.455789,0.652875,0.889475
"demography","IBM",9,15,20,17.5,0.081791,0.327395,0.409473,0.412775
"demography","IBM",9,20,30,25,0.156974,0.228266,0.273577,0.430152
"demography","IBM",9,30,40,35,0.151393,0.189769,0.187101,0
"demography","IBM",9,40,60,50,0.235698,0.181993,0.130491,0
"demography","IBM",9,60,85,72.5,0.124915,0.181173,0.110543,0.54055
"eir_20","IBM",10,0,1,0.5,0.0456123,0.274445,1.02678,43.7399
"eir_20","IBM",10,1,2,1.5,0.043623,0.424042,1.69683,58.1372
"eir_20","IBM",10,2,3,2.5,0.040795,0.469579,1.64454,38.9583
"eir_20","IBM",10,3,5,4,0.0760323,0.528702,1.44497,16.4555
"eir_20","IBM",10,5,7,6,0.07288,0.555293,1.18779,6.49574
"eir_20","IBM",10,7,10,8.5,0.102921,0.554269,0.896292,3.28553
"eir_20","IBM",10,10,15,12.5,0.137443,0.505852,0.587764,0.492059
"eir_20","IBM",10,15,20,17.5,0.103961,0.356256,0.364622,0.650531
"eir_20","IBM",10,20,30,25,0.145055,0.244424,0.253166,0.466236
"eir_20","IBM",10,30,40,35,0.0995284,0.202591,0.157305,0.339751
"eir_20","IBM",10,40,60,50,0.0898768,0.19374,0.118514,0
"eir_20","IBM",10,60,85,72.5,0.0422725,0.198553,0.088792,0
"demography","IBM",10,0,1,0.5,0.0185846,0.217139,0.909025,43.5461
"demography","IBM",10,1,2,1.5,0.0188184,0.378253,1.42275,43.0051
"demography","IBM",10,2,3,2.5,0.0177515,0.425001,1.40189,36.092
"demography","IBM",10,3,5,4,0.0342485,0.468154,1.33312,21.6607
"demography","IBM",10,5,7,6,0.0315881,0.507056,1.07924,9.60748
"demography","IBM",10,7,10,8.5,0.0501151,0.515121,0.874041,1.34571
"demography","IBM",10,10,15,12.5,0.0876136,0.458872,0.627731,1.5395
"demography","IBM",10,15,20,17.5,0.0788667,0.335867,0.392928,0
"demography","IBM",10,20,30,25,0.154713,0.232366,0.26634,0
"demography","IBM",10,30,40,35,0.153969,0.194312,0.179148,0.219007
"demography","IBM",10,40,60,50,0.231745,0.183105,0.138231,0.436518
"demography","IBM",10,60,85,72.5,0.121987,0.181011,0.105871,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eir_20","fleet",0,0,1,0.5,0.046425,0.28802,1.08591,52.501
"eir_20","fleet",0,1,2,1.5,0.0440996,0.440502,1.8522,60.7852
"eir_20","fleet",0,2,3,2.5,0.0420601,0.49255,1.79417,38.5744
"eir_20","fleet",0,3,5,4,0.0783748,0.535928,1.52119,17.4038
"eir_20","fleet",0,5,7,6,0.0701178,0.565516,1.1867,5.88506
"eir_20","fleet",0,7,10,8.5,0.0936686,0.570865,0.925895,2.54834
"eir_20","fleet",0,10,15,12.5,0.129788,0.506256,0.601619,1.07718
"eir_20","fleet",0,15,20,17.5,0.095302,0.353719,0.349603,0.48146
"eir_20","fleet",0,20,30,25,0.139136,0.247234,0.259272,0.322133
"eir_20","fleet",0,30,40,35,0.0907589,0.208399,0.190871,0.223869
"eir_20","fleet",0,40,60,50,0.0978198,0.198709,0.145108,0.170294
"eir_20","fleet",0,60,85,72.5,0.0724488,0.195309,0.105693,0.131272
"demography","fleet",0,0,1,0.5,0.0181,0.232411,0.821869,44.6001
"demography","fleet",0,1,2,1.5,0.0176281,0.372046,1.41499,53.9715
"demography","fleet",0,2,3,2.5,0.0175052,0.423756,1.47857,38.1077
"demography","fleet",0,3,5,4,0.0346452,0.469,1.31861,18.7291
"demography","fleet",0,5,7,6,0.0342793,0.501743,1.05095,6.64885
"demography","fleet",0,7,10,8.5,0.0510353,0.5126,0.88273,3.04211
"demography","fleet",0,10,15,12.5,0.083796,0.462149,0.627851,1.30168
"demography","fleet",0,15,20,17.5,0.0814984,0.331001,0.362153,0.546949
"demography","fleet",0,20,30,25,0.153714,0.231256,0.259248,0.347598
"demography","fleet",0,30,40,35,0.142117,0.195956,0.191489,0.236169
"demography","fleet",0,40,60,50,0.220829,0.187183,0.151141,0.178687
"demography","fleet",0,60,85,72.5,0.144853,0.184592,0.12494,0.145425
