"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"demography","IBM",2,20,30,25,0.162534,0.229035,0.254914,0.415169
"demography","IBM",2,30,40,35,0.152669,0.192733,0.178345,0.220997
"demography","IBM",2,40,60,50,0.231018,0.185409,0.123848,0.292094
"demography","IBM",2,60,85,72.5,0.120052,0.184179,0.100612,0
"eir_20","IBM",3,0,1,0.5,0.0458736,0.301273,1.1378,62.7192
"eir_20","IBM",3,1,2,1.5,0.043344,0.439263,1.84067,49.1991
"eir_20","IBM",3,2,3,2.5,0.0421676,0.48883,1.7403,40.9389
"eir_20","IBM",3,3,5,4,0.079395,0.546445,1.50582,22.1695
"eir_20","IBM",3,5,7,6,0.0754191,0.560732,1.16556,9.87384
"eir_20","IBM",3,7,10,8.5,0.101133,0.56653,0.934806,4.01635
"eir_20","IBM",3,10,15,12.5,0.130819,0.505518,0.618662,1.55248
"eir_20","IBM",3,15,20,17.5,0.106023,0.351588,0.390137,0.638522
"eir_20","IBM",3,20,30,25,0.149106,0.243786,0.273095,0
"eir_20","IBM",3,30,40,35,0.0960753,0.201591,0.181091,0
"eir_20","IBM",3,40,60,50,0.0913361,0.199615,0.13008,0.370598
"eir_20","IBM",3,60,85,72.5,0.0393078,0.189474,0.102474,0
"demography","IBM",3,0,1,0.5,0.0179212,0.244151,0.862915,35.7198
"demography","IBM",3,1,2,1.5,0.0176853,0.364427,1.45738,68.5825
"demography","IBM",3,2,3,2.5,0.0173223,0.39695,1.34205,42.7899
"demography","IBM",3,3,5,4,0.0359767,0.436519,1.18466,16.8568
"demography","IBM",3,5,7,6,0.0356799,0.503458,1.05098,7.55422
"demography","IBM",3,7,10,8.5,0.0534304,0.510593,0.860101,2.52229
"demography","IBM",3,10,15,12.5,0.0803731,0.463496,0.644298,2.93434
"demography","IBM",3,15,20,17.5,0.0851572,0.351632,0.411072,0.791283
"demography","IBM",3,20,30,25,0.161236,0.229208,0.280633,0.417919
"demography","IBM",3,30,40,35,0.144176,0.194623,0.200268,0
"demography","IBM",3,40,60,50,0.227285,0.187232,0.135191,0
"demography","IBM",3,60,85,72.5,0.123757,0.184609,0.108352,0.272241
"eir_20","IBM",4,0,1,0.5,0.0479836,0.288499,1.104,55.7292
"eir_20","IBM",4,1,2,1.5,0.0447828,0.430085,1.70974,53.6656
"eir_20","IBM",4,2,3,2.5,0.0421024,0.491994,1.75668,35.3748
"eir_20","IBM",4,3,5,4,0.0798791,0.531445,1.43399,19.4927
"eir_20","IBM",4,5,7,6,0.0737988,0.56355,1.18428,8.25603
"eir_20","IBM",4,7,10,8.5,0.101478,0.565097,0.916297,3.66919
"eir_20","IBM",4,10,15,12.5,0.129612,0.499577,0.615286,0.783471
"eir_20","IBM",4,15,20,17.5,0.104796,0.360752,0.359175,0
"eir_20","IBM",4,20,30,25,0.150329,0.246793,0.238903,0.225168
"eir_20","IBM",4,30,40,35,0.0953288,0.204003,0.175409,0.355078
"eir_20","IBM",4,40,60,50,0.0909998,0.195149,0.130561,0
"eir_20","IBM",4,60,85,72.5,0.0389097,0.195866,0.0861243,0
"demography","IBM",4,0,1,0.5,0.0191913,0.222636,0.739912,31.6352
"demography","IBM",4,1,2,1.5,0.0174009,0.354892,1.25217,46.5203
"demography","IBM",4,2,3,2.5,0.0164831,0.411744,1.25641,26.6016
"demography","IBM",4,3,5,4,0.0327993,0.436219,1.26898,20.5669
"demography","IBM",4,5,7,6,0.0316514,0.493794,1.07417,8.52512
"demography","IBM",4,7,10,8.5,0.0466839,0.489489,0.834485,3.61249
"demography","IBM",4,10,15,12.5,0.0814793,0.448496,0.650328,1.24187
"demography","IBM",4,15,20,17.5,0.0804779,0.330729,0.424138,0.419109
"demography","IBM",4,20,30,25,0.158301,0.228473,0.262928,0.639209
"demography","IBM",4,30,40,35,0.154272,0.190313,0.186276,0
"demography","IBM",4,40,60,50,0.232787,0.182813,0.128954,0
"demography","IBM",4,60,85,72.5,0.128473,0.180442,0.0966138,0.525075
"eir_20","IBM",5,0,1,0.5,0.0482423,0.281086,1.03358,49.7857
"eir_20","IBM",5,1,2,1.5,0.0461273,0.415457,1.76959,52.8018
"eir_20","IBM",5,2,3,2.5,0.0434514,0.504803,1.82174,43.5971
"eir_20","IBM",5,3,5,4,0.083711,0.543396,1.50286,17.3764
"eir_20","IBM",5,5,7,6,0.074782,0.56204,1.22045,6.78529
"eir_20","IBM",5,7,10,8.5,0.0973545,0.576387,0.974308,2.4323
"eir_20","IBM",5,10,15,12.5,0.130987,0.50997,0.609477,0.258253
"eir_20","IBM",5,15,20,17.5,0.100998,0.360902,0.389196,1.33974
"eir_20","IBM",5,20,30,25,0.14714,0.247207,0.254272,0.229902
"eir_20","IBM",5,30,40,35,0.0942915,0.20403,0.171845,0
"eir_20","IBM",5,40,60,50,0.0925902,0.199085,0.12568,0.36535
"eir_20","IBM",5,60,85,72.5,0.0403245,0.190467,0.0897612,0
"demography","IBM",5,0,1,0.5,0.0186582,0.243208,0.876791,52.4267
"demography","IBM",5,1,2,1.5,0.0168755,0.389009,1.42714,57.9651
"demography","IBM",5,2,3,2.5,0.0163857,0.427776,1.36481,37.0537
"demography","IBM",5,3,5,4,0.0329355,0.458757,1.26379,20.4828
"demography","IBM",5,5,7,6,0.0333912,0.504524,1.06168,9.09149
"demography","IBM",5,7,10,8.5,0.0492062,0.518187,0.861667,6.85495
"demography","IBM",5,10,15,12.5,0.0832087,0.459497,0.638058,2.83762
"demography","IBM",5,15,20,17.5,0.0810828,0.343018,0.413506,0.416002
"demography","IBM",5,20,30,25,0.151469,0.230728,0.281925,0.445379
"demography","IBM",5,30,40,35,0.149478,0.193907,0.194966,0.225656
"demography","IBM",5,40,60,50,0.23756,0.188847,0.131765,0
"demography","IBM",5,60,85,72.5,0.129749,0.179416,0.112566,0
"eir_20","IBM",6,0,1,0.5,0.0481057,0.27505,1.08448,50.6702
"eir_20","IBM",6,1,2,1.5,0.0457884,0.43751,1.86099,56.1921
"eir_20","IBM",6,2,3,2.5,0.0423957,0.488961,1.79511,51.9049
"eir_20","IBM",6,3,5,4,0.0798661,0.533177,1.49167,19.499
"eir_20","IBM",6,5,7,6,0.0747657,0.570708,1.20764,6.79212
"eir_20","IBM",6,7,10,8.5,0.0973371,0.561696,0.959251,3.13026
"eir_20","IBM",6,10,15,12.5,0.133597,0.515246,0.606913,1.26704
"eir_20","IBM",6,15,20,17.5,0.0986677,0.358177,0.363017,1.02935
"eir_20","IBM",6,20,30,25,0.149169,0.24756,0.240118,0.453908
"eir_20","IBM",6,30,40,35,0.0938733,0.208835,0.167337,0.360641
"eir_20","IBM",6,40,60,50,0.0960695,0.195401,0.124043,0
"eir_20","IBM",6,60,85,72.5,0.0403652,0.190285,0.0905801,0
"demography","IBM",6,0,1,0.5,0.017931,0.211406,0.708074,48.8327
"demography","IBM",6,1,2,1.5,0.0172531,0.354837,1.3332,48.7994
"demography","IBM",6,2,3,2.5,0.016262,0.424521,1.56563,49.7027
"demography","IBM",6,3,5,4,0.0322081,0.478324,1.31226,19.8669
"demography","IBM",6,5,7,6,0.0340091,0.509087,1.09918,12.8733
"demography","IBM",6,7,10,8.5,0.0518668,0.512851,0.908383,2.59724
"demography","IBM",6,10,15,12.5,0.082409,0.455812,0.60564,2.04332
"demography","IBM",6,15,20,17.5,0.0801727,0.326771,0.39696,0.420063
"demography","IBM",6,20,30,25,0.158118,0.228584,0.258357,0.638969
"demography","IBM",6,30,40,35,0.150513,0.190253,0.188176,0
"demography","IBM",6,40,60,50,0.233091,0.186408,0.127434,0.288966
"demography","IBM",6,60,85,72.5,0.126166,0.18209,0.0950272,0.26693
"eir_20","IBM",7,0,1,0.5,0.0469018,0.280431,1.06238,56.2182
"eir_20","IBM",7,1,2,1.5,0.0449091,0.447724,1.88708,60.2181
"eir_20","IBM",7,2,3,2.5,0.0431232,0.497921,1.73556,37.6272
"eir_20","IBM",7,3,5,4,0.0808628,0.53258,1.44685,20.0662
"eir_20","IBM",7,5,7,6,0.0733833,0.559668,1.22488,7.37046
"eir_20","IBM",7,7,10,8.5,0.0974603,0.572591,0.964595,4.50908
"eir_20","IBM",7,10,15,12.5,0.130087,0.506073,0.591698,1.29929
"eir_20","IBM",7,15,20,17.5,0.110178,0.352915,0.370938,0.613628
"eir_20","IBM",7,20,30,25,0.144941,0.247995,0.23696,0
"eir_20","IBM",7,30,40,35,0.0924605,0.208236,0.182073,0.731216
"eir_20","IBM",7,40,60,50,0.0886161,0.190329,0.130081,0.762938
"eir_20","IBM",7,60,85,72.5,0.0470766,0.192028,0.108429,0
"demography","IBM",7,0,1,0.5,0.0174586,0.230865,0.76939,28.9971
"demography","IBM",7,1,2,1.5,0.0170569,0.355297,1.34945,55.4026
"demography","IBM",7,2,3,2.5,0.0172781,0.397164,1.35561,54.6934
"demography","IBM",7,3,5,4,0.0352172,0.437479,1.21229,19.1667
"demography","IBM",7,5,7,6,0.0335064,0.494806,1.06166,10.0727
"demography","IBM",7,7,10,8.5,0.0492809,0.48484,0.849211,5.47878
"demography","IBM",7,10,15,12.5,0.0792104,0.454799,0.616111,1.27824
"demography","IBM",7,15,20,17.5,0.0786374,0.33786,0.429613,0
"demography","IBM",7,20,30,25,0.15763,0.233241,0.270633,0.428217
"demography","IBM",7,30,40,35,0.152765,0.191885,0.181823,0.220927
"demography","IBM",7,40,60,50,0.232521,0.184061,0.145873,0.435443
"demography","IBM",7,60,85,72.5,0.129437,0.179521,0.104558,0
"eir_20","IBM",8,0,1,0.5,0.0496339,0.297514,1.1264,53.1516
"eir_20","IBM",8,1,2,1.5,0.0467895,0.443413,1.85918,67.9484
"eir_20","IBM",8,2,3,2.5,0.0430045,0.494481,1.69093,38.5374
"eir_20","IBM",8,3,5,4,0.0762693,0.539517,1.50553,23.9466
"eir_20","IBM",8,5,7,6,0.0734544,0.57551,1.22249,3.68359
"eir_20","IBM",8,7,10,8.5,0.095605,0.56775,0.959419,4.59899
"eir_20","IBM",8,10,15,12.5,0.133234,0.510487,0.558732,1.26927
"eir_20","IBM",8,15,20,17.5,0.105051,0.358935,0.372828,0.965876
"eir_20","IBM",8,20,30,25,0.144942,0.248536,0.24805,0.466699
"eir_20","IBM",8,30,40,35,0.0939485,0.204326,0.151563,0
"eir_20","IBM",8,40,60,50,0.0941436,0.197007,0.123585,0
"eir_20","IBM",8,60,85,72.5,0.0439246,0.194536,0.13013,1.54
"demography","IBM",8,0,1,0.5,0.0184627,0.234006,0.88543,49.292
"demography","IBM",8,1,2,1.5,0.0175968,0.383553,1.41744,78.5338
"demography","IBM",8,2,3,2.5,0.0174732,0.417798,1.35031,32.7932
"demography","IBM",8,3,5,4,0.036381,0.465936,1.30725,21.3088
"demography","IBM",8,5,7,6,0.03651,0.518948,1.12353,11.0784
"demography","IBM",8,7,10,8.5,0.0483279,0.528116,0.915046,4.8821
"demography","IBM",8,10,15,12.5,0.0829196,0.467137,0.653229,1.21947
"demography","IBM",8,15,20,17.5,0.0837485,0.335761,0.417358,0.402466
"demography","IBM",8,20,30,25,0.153229,0.233264,0.271664,0
"demography","IBM",8,30,40,35,0.153761,0.196586,0.185671,0
"demography","IBM",8,40,60,50,0.228313,0.187306,0.128143,0.14763
"demography","IBM",8,60,85,72.5,0.123277,0.185419,0.112374,0.273417
"eir_20","IBM",9,0,1,0.5,0.0475704,0.274153,1.09751,42.6493
"eir_20","IBM",9,1,2,1.5,0.0445855,0.442111,1.80122,59.156
"eir_20","IBM",9,2,3,2.5,0.0436209,0.486805,1.69997,43.4101
"eir_20","IBM",9,3,5,4,0.0840399,0.523443,1.47987,19.7155
"eir_20","IBM",9,5,7,6,0.0764389,0.573981,1.23686,8.40498
"eir_20","IBM",9,7,10,8.5,0.0956556,0.57745,0.925458,2.82799
"eir_20","IBM",9,10,15,12.5,0.13539,0.506489,0.607151,1.74827
"eir_20","IBM",9,15,20,17.5,0.101662,0.360704,0.390155,0.332613
"eir_20","IBM",9,20,30,25,0.143462,0.247506,0.234287,0.471401
"eir_20","IBM",9,30,40,35,0.0929704,0.201954,0.168761,0.363708
"eir_20","IBM",9,40,60,50,0.0934338,0.198213,0.120514,0.361904
"eir_20","IBM",9,60,85,72.5,0.0411707,0.198474,0.101022,0
"demography","IBM",9,0,1,0.5,0.018269,0.226358,0.861172,48.0482
"demography","IBM",9,1,2,1.5,0.0179608,0.35091,1.26505,45.1132
"demography","IBM",9,2,3,2.5,0.0176975,0.416775,1.37544,24.8
"demography","IBM",9,3,5,4,0.0352449,0.462984,1.30084,16.2844
"demography","IBM",9,5,7,6,0.0343985,0.508222,1.05214,4.90738
"demography","IBM",9,7,10,8.5,0.0497467,0.501524,0.920269,4.07199
"demography","IBM",9,10,15,12.5,0.0759129,0.455789,0.652875,0.889475
"demography","IBM",9,15,20,17.5,0.081791,0.327395,0.409473,0.412775
"demography","IBM",9,20,30,25,0.156974,0.228266,0.273577,0.430152
"demography","IBM",9,30,40,35,0.151393,0.189769,0.187101,0
"demography","IBM",9,40,60,50,0.235698,0.181993,0.130491,0
"demography","IBM",9,60,85,72.5,0.124915,0.181173,0.110543,0.54055
"eir_20","IBM",10,0,1,0.5,0.0456123,0.274445,1.02678,43.7399
"eir_20","IBM",10,1,2,1.5,0.043623,0.424042,1.69683,58.1372
"eir_20","IBM",10,2,3,2.5,0.040795,0.469579,1.64454,38.9583
"eir_20","IBM",10,3,5,4,0.0760323,0.528702,1.44497,16.4555
"eir_20","IBM",10,5,7,6,0.07288,0.555293,1.18779,6.49574
"eir_20","IBM",10,7,10,8.5,0.102921,0.554269,0.896292,3.28553
"eir_20","IBM",10,10,15,12.5,0.137443,0.505852,0.587764,0.492059
"eir_20","IBM",10,15,20,17.5,0.103961,0.356256,0.364622,0.650531
"eir_20","IBM",10,20,30,25,0.145055,0.244424,0.253166,0.466236
"eir_20","IBM",10,30,40,35,0.0995284,0.202591,0.157305,0.339751
"eir_20","IBM",10,40,60,50,0.0898768,0.19374,0.118514,0
"eir_20","IBM",10,60,85,72.5,0.0422725,0.198553,0.088792,0
"demography","IBM",10,0,1,0.5,0.0185846,0.217139,0.909025,43.5461
"demography","IBM",10,1,2,1.5,0.0188184,0.378253,1.42275,43.0051
"demography","IBM",10,2,3,2.5,0.0177515,0.425001,1.40189,36.092
"demography","IBM",10,3,5,4,0.0342485,0.468154,1.33312,21.6607
"demography","IBM",10,5,7,6,0.0315881,0.507056,1.07924,9.60748
"demography","IBM",10,7,10,8.5,0.0501151,0.515121,0.874041,1.34571
"demography","IBM",10,10,15,12.5,0.0876136,0.458872,0.627731,1.5395
"demography","IBM",10,15,20,17.5,0.0788667,0.335867,0.392928,0
"demography","IBM",10,20,30,25,0.154713,0.232366,0.26634,0
"demography","IBM",10,30,40,35,0.153969,0.194312,0.179148,0.219007
"demography","IBM",10,40,60,50,0.231745,0.183105,0.138231,0.436518
"demography","IBM",10,60,85,72.5,0.121987,0.181011,0.105871,0
"eir_20","IBM",11,0,1,0.5,0.046673,0.287636,1.1499,49.3954
"eir_20","IBM",11,1,2,1.5,0.0449394,0.443393,1.86645,63.3717
"eir_20","IBM",11,2,3,2.5,0.0436523,0.490221,1.79411,34.9502
"eir_20","IBM",11,3,5,4,0.0838284,0.540831,1.52675,20.2219
"eir_20","IBM",11,5,7,6,0.0731516,0.568727,1.19946,4.17121
"eir_20","IBM",11,7,10,8.5,0.100617,0.578339,0.974136,1.34782
"eir_20","IBM",11,10,15,12.5,0.131325,0.503257,0.604878,1.29082
"eir_20","IBM",11,15,20,17.5,0.10364,0.355832,0.400075,1.3085
"eir_20","IBM",11,20,30,25,0.145097,0.246178,0.25913,0.233661
"eir_20","IBM",11,30,40,35,0.0916918,0.204355,0.176742,0.739508
"eir_20","IBM",11,40,60,50,0.093854,0.196788,0.132935,0
"eir_20","IBM",11,60,85,72.5,0.0415306,0.197708,0.0930637,0
"demography","IBM",11,0,1,0.5,0.0187802,0.238202,0.817648,44.9257
"demography","IBM",11,1,2,1.5,0.0177703,0.384843,1.49844,45.5799
"demography","IBM",11,2,3,2.5,0.0170866,0.433348,1.46754,45.4285
"demography","IBM",11,3,5,4,0.0327876,0.471904,1.27429,13.381
"demography","IBM",11,5,7,6,0.0342652,0.486104,1.04599,8.86432
"demography","IBM",11,7,10,8.5,0.0499944,0.516967,0.874863,4.72534
"demography","IBM",11,10,15,12.5,0.0827264,0.474093,0.645792,1.63182
"demography","IBM",11,15,20,17.5,0.0769145,0.32916,0.414648,0.438781
"demography","IBM",11,20,30,25,0.159132,0.231198,0.273794,0.636237
"demography","IBM",11,30,40,35,0.150041,0.196639,0.18939,0.224929
"demography","IBM",11,40,60,50,0.23176,0.187462,0.13062,0.145619
"demography","IBM",11,60,85,72.5,0.128741,0.182661,0.105643,0.262143
"eir_20","IBM",12,0,1,0.5,0.0450532,0.286522,1.09814,52.5067
"eir_20","IBM",12,1,2,1.5,0.0424719,0.442782,1.86031,56.4935
"eir_20","IBM",12,2,3,2.5,0.041717,0.479105,1.7352,31.5932
"eir_20","IBM",12,3,5,4,0.0799315,0.540355,1.47807,14.3748
"eir_20","IBM",12,5,7,6,0.0714558,0.572195,1.1866,5.20233
"eir_20","IBM",12,7,10,8.5,0.0910183,0.563502,0.905577,1.48516
"eir_20","IBM",12,10,15,12.5,0.134145,0.506463,0.60159,1.00769
"eir_20","IBM",12,15,20,17.5,0.107111,0.352412,0.386809,0.315505
"eir_20","IBM",12,20,30,25,0.151292,0.244935,0.239677,0
"eir_20","IBM",12,30,40,35,0.0966687,0.207532,0.158713,0.349588
"eir_20","IBM",12,40,60,50,0.0949725,0.197458,0.118492,0
"eir_20","IBM",12,60,85,72.5,0.0441622,0.196308,0.110193,0
"demography","IBM",12,0,1,0.5,0.0176519,0.201128,0.697721,38.2313
"demography","IBM",12,1,2,1.5,0.0173771,0.360669,1.4078,54.3704
"demography","IBM",12,2,3,2.5,0.0171948,0.438688,1.54636,45.1349
"demography","IBM",12,3,5,4,0.0323214,0.487361,1.34673,18.7916
"demography","IBM",12,5,7,6,0.0319844,0.481853,1.05603,10.5498
"demography","IBM",12,7,10,8.5,0.0479785,0.491571,0.838322,3.51645
"demography","IBM",12,10,15,12.5,0.0809204,0.461655,0.647165,0
"demography","IBM",12,15,20,17.5,0.0825503,0.329308,0.442272,1.22626
"demography","IBM",12,20,30,25,0.153675,0.228137,0.253167,0.219573
"demography","IBM",12,30,40,35,0.15214,0.195017,0.196504,0
"demography","IBM",12,40,60,50,0.23793,0.18274,0.131749,0
"demography","IBM",12,60,85,72.5,0.128276,0.186379,0.102063,0.263048
"eir_20","IBM",13,0,1,0.5,0.0468554,0.29489,1.09422,57.7424
"eir_20","IBM",13,1,2,1.5,0.0450453,0.443524,1.84768,71.3244
"eir_20","IBM",13,2,3,2.5,0.0436468,0.478053,1.7062,30.9936
"eir_20","IBM",13,3,5,4,0.0830013,0.527092,1.45624,17.5206
"eir_20","IBM",13,5,7,6,0.0719867,0.569746,1.18812,5.16779
"eir_20","IBM",13,7,10,8.5,0.0951777,0.577986,0.903954,2.4873
"eir_20","IBM",13,10,15,12.5,0.130619,0.499366,0.57583,2.07133
"eir_20","IBM",13,15,20,17.5,0.107575,0.355062,0.325069,1.5719
"eir_20","IBM",13,20,30,25,0.154036,0.239104,0.243925,0.439108
"eir_20","IBM",13,30,40,35,0.089468,0.203828,0.164054,0
"eir_20","IBM",13,40,60,50,0.0928883,0.196902,0.128158,0.728171
"eir_20","IBM",13,60,85,72.5,0.0397011,0.200047,0.0911478,0
"demography","IBM",13,0,1,0.5,0.0174302,0.204661,0.702574,40.6448
"demography","IBM",13,1,2,1.5,0.0165922,0.378018,1.39886,40.6644
"demography","IBM",13,2,3,2.5,0.0171612,0.432166,1.3741,27.5214
"demography","IBM",13,3,5,4,0.035883,0.479452,1.30588,18.8031
"demography","IBM",13,5,7,6,0.0349004,0.49889,1.05169,7.73301
"demography","IBM",13,7,10,8.5,0.0469461,0.506747,0.902565,2.15581
"demography","IBM",13,10,15,12.5,0.0812329,0.462784,0.598856,1.66118
"demography","IBM",13,15,20,17.5,0.0795514,0.333984,0.401598,0.424073
"demography","IBM",13,20,30,25,0.161977,0.226921,0.249512,0.624821
"demography","IBM",13,30,40,35,0.147146,0.19188,0.174243,0.229267
"demography","IBM",13,40,60,50,0.236614,0.186074,0.137159,0
"demography","IBM",13,60,85,72.5,0.124565,0.183765,0.108872,0
"eir_20","IBM",14,0,1,0.5,0.047557,0.271836,1.06267,45.553
"eir_20","IBM",14,1,2,1.5,0.0444592,0.421908,1.7359,57.8634
"eir_20","IBM",14,2,3,2.5,0.0418591,0.469147,1.66825,35.5807
"eir_20","IBM",14,3,5,4,0.0792562,0.536182,1.46833,23.4899
"eir_20","IBM",14,5,7,6,0.0754855,0.570743,1.19595,6.72635
"eir_20","IBM",14,7,10,8.5,0.0972965,0.564985,0.92959,4.5227
"eir_20","IBM",14,10,15,12.5,0.129458,0.494544,0.571573,2.09176
"eir_20","IBM",14,15,20,17.5,0.104919,0.36227,0.357145,0.322624
"eir_20","IBM",14,20,30,25,0.149494,0.247046,0.235937,0.452854
"eir_20","IBM",14,30,40,35,0.0910012,0.200893,0.18152,0.371967
"eir_20","IBM",14,40,60,50,0.0949221,0.195506,0.120175,0.356603
"eir_20","IBM",14,60,85,72.5,0.0442917,0.190354,0.112343,0
"demography","IBM",14,0,1,0.5,0.0184968,0.251241,0.904413,51.0556
"demography","IBM",14,1,2,1.5,0.0172624,0.381629,1.51615,62.5217
"demography","IBM",14,2,3,2.5,0.0165772,0.432388,1.50355,34.5877
"demography","IBM",14,3,5,4,0.0329218,0.46528,1.33693,22.5383
"demography","IBM",14,5,7,6,0.0336862,0.529699,1.16242,13.0159
"demography","IBM",14,7,10,8.5,0.048171,0.524809,0.892003,2.10048
"demography","IBM",14,10,15,12.5,0.0826077,0.463734,0.626307,1.22485
"demography","IBM",14,15,20,17.5,0.0806507,0.340406,0.405227,1.67276
"demography","IBM",14,20,30,25,0.156128,0.230209,0.26787,0.648074
"demography","IBM",14,30,40,35,0.147113,0.195336,0.181117,0.229262
"demography","IBM",14,40,60,50,0.240795,0.182631,0.137406,0.140067
"demography","IBM",14,60,85,72.5,0.125591,0.185215,0.0958724,0
"eir_20","IBM",15,0,1,0.5,0.0468257,0.280965,1.07153,56.358
"eir_20","IBM",15,1,2,1.5,0.0439997,0.450067,1.89084,63.8225
